"full_text","id_str","created_at","username","user_id_str","lang","location","quote_count","reply_count","retweet_count","favorite_count","tweet_url","mentions","mention_count","source","target"
"Foto legenda: para pembesar Nahdlatul Ulama Kiai As'ad Syamsul Arifin Kiai Ali Maksum Kiai Masykur Malang Kiai Idham Chalid Gus Durrahman Wahid dan Lora Fawaid As'ad di momen bersama menunggu detik-detik kedatangan Soeharto ke arena Muktamar 27 di Pesantren Sukorejo. https://t.co/cNmZytuEpJ","1.78e+32","2024-04-14 00:15:26+00:00","husain_fahasbu","3187162939.0","in","Indonesia ","10","24","186","865","https://x.com/husain_fahasbu/status/1779302408620998981","","0","husain_fahasbu",""
"@armanhermawan3 @Piyusaja2 @nahdlatululama @nu_online Pertanyaan nya apa orang orang yg melaknat Iran selama ini bahagia ","1.78e+32","2024-04-14 00:27:52+00:00","UloTukangX","1.71e+32","in","","0","0","0","0","https://x.com/UloTukangX/status/1779305535302762726","armanhermawan3,Piyusaja2,nahdlatululama,nu_online","4","UloTukangX","armanhermawan3"
"@tempodotco Buat banser dan NU. Dua ormas bangsat","1.78E+31","2024-04-14 00:53:04+00:00","zenstrive","15870933.0","in","","0","0","0","0","https://x.com/zenstrive/status/1779311880273883446","tempodotco","1","zenstrive","tempodotco"
"▶️ Keteguhan Sikap Terhadap NU dan Indonesia - Ustadz Zein Muchsin #UstadzzeinMuchsin #zeinmuchsinofficial #nahdlatululama #indonesia https://t.co/O7jvgY8kN9","1.78E+47","2024-04-14 01:00:01+00:00","zein_muchsin","1.19E+48","in","Kalimantan Barat, Indonesia","0","0","0","0","https://x.com/zein_muchsin/status/1779313627130208353","","0","zein_muchsin",""
"@PRFMnews Hiji hiji carana mah ormas euweuhkeun. Da sabangsa pungli pemalakan parkir liar jeung nu lain lain psti aya dalangna aya anu ngahaja ngagerakkeun moal mngkin euweuh","1.78E+31","2024-04-14 01:54:35+00:00","gagitugie___","2429397041.0","in","Galuh Pakuan","0","5","2","13","https://x.com/gagitugie___/status/1779327358404829307","PRFMnews","1","gagitugie___","PRFMnews"
"@dorimeguro @PelatihT1dur apakah @YaqutCQoumas tidak tersinggung thd hal seperti ini !? apa Agama Pak Menteri !? cc @nahdlatululama","1.78e+32","2024-04-14 02:02:07+00:00","BangferRiau","1.6e+32","in","Kota Surabaya, Jawa Timur","0","0","1","1","https://x.com/BangferRiau/status/1779329257141133822","dorimeguro,PelatihT1dur,YaqutCQoumas,nahdlatululama","4","BangferRiau","dorimeguro"
"@YaqutCQoumas @KetumPBNU @nahdlatululama","1.78e+32","2024-04-14 02:13:45+00:00","BangferRiau","1.6e+32","qam","Kota Surabaya, Jawa Timur","0","0","0","0","https://x.com/BangferRiau/status/1779332181745365370","YaqutCQoumas,KetumPBNU,nahdlatululama","3","BangferRiau","YaqutCQoumas"
"@Hilmi28 @muhammadiyah @nahdiyinbersatu @nahdlatululama @PersatuanIslam @cholilnafis @DPP_PKB @PKSejahtera","1.78e+32","2024-04-14 02:41:48+00:00","4srulLy","1.6e+32","qam","","0","0","0","0","https://x.com/4srulLy/status/1779339240930976210","Hilmi28,muhammadiyah,nahdiyinbersatu,nahdlatululama,PersatuanIslam,cholilnafis,DPP_PKB,PKSejahtera","8","4srulLy","Hilmi28"
"@giIangmahesa Nu galak sama ormas dan siap ngatur transportasi dan parkir liar saha kira-kira Kang?","1.78E+31","2024-04-14 03:25:40+00:00","rest_area83","234386013.0","in","Bandung - Indonesia","1","7","0","4","https://x.com/rest_area83/status/1779350281266081819","giIangmahesa","1","rest_area83","giIangmahesa"
"Semoga kegiatan ini dapat sedikit mengurangi kesedihan dan ketegangan psikis yang mereka alami. Mari kirimkan lebih banyak bantuan melalui https://t.co/dfcm4wBXw3 BSI 7015 654 583 BCA 0680 1926 77 #NUPeduli #Palestina #Gaza #NahdlatulUlama #LAZISNU #NUCARE https://t.co/WTggkddYz9","1.78E+47","2024-04-14 03:46:24+00:00","nucare_lazisnu","463330666.0","in","Jakarta Pusat, DKI Jakarta","0","0","1","6","https://x.com/nucare_lazisnu/status/1779355499634508030","","0","nucare_lazisnu",""
"@xwargasetempat @fotodakwah @nahdlatululama @YaqutCQoumas @GPANSOR_","1.78E+47","2024-04-14 05:34:00+00:00","R4uf_85","2257379096.0","qam","Bulukumba","0","1","0","0","https://x.com/R4uf_85/status/1779382579059404931","xwargasetempat,fotodakwah,nahdlatululama,YaqutCQoumas,GPANSOR_","5","R4uf_85","xwargasetempat"
"adalah ironi bahwa temen2 NU sangat peduli karimun - nasib daiel fritz tangkilisan tapi ga bersuara apa2 saat nahdlatul ulama dapat jatah IUP tambang https://t.co/7E0t7FmTBL","1.78e+32","2024-04-14 06:24:21+00:00","mynameprada","1.15e+32","in","الولايات المتحدة","0","0","0","0","https://x.com/mynameprada/status/1779395250307657784","","0","mynameprada",""
"Apakah organisasi kemasyarakatan yang akan mendapat konsesi tambang itu adalah @nahdlatululama ?","1.78e+32","2024-04-14 06:26:27+00:00","nvn_hdyt","1.6e+30","in","DKI Jakarta, Indonesia","0","0","0","0","https://x.com/nvn_hdyt/status/1779395779075166586","nahdlatululama","1","nvn_hdyt","nahdlatululama"
"Sagu lg @DivHumas_Polri tlg di proses sblm umat islam yg proses ??? @PKSejahtera @DPP_PKB @muhammadiyah @PPPemudaMu @nahdlatululama @abu_waras @MCAOps @republikaonline @tempodotco","1.78e+32","2024-04-14 06:55:42+00:00","wa_one1","81386247.0","in","Indonesia","0","0","0","1","https://x.com/wa_one1/status/1779403136291193184","DivHumas_Polri,PKSejahtera,DPP_PKB,muhammadiyah,PPPemudaMu,nahdlatululama,abu_waras,MCAOps,republikaonline,tempodotco","10","wa_one1","DivHumas_Polri"
"@petanirumah jelema jeung ormas nu didinya emang araranjing","1.78E+31","2024-04-14 09:37:04+00:00","MEETYOURMVKER","622440235.0","in","","0","0","0","0","https://x.com/MEETYOURMVKER/status/1779443745727148210","petanirumah","1","MEETYOURMVKER","petanirumah"
"@Munir_Timur @ListyoSigitP @prabowo @Puspen_TNI @DPR_RI @MajelisUlamaID @Nahdlatul_Ulama","1.78E+47","2024-04-14 12:16:09+00:00","RachmatNaraz","1.76e+32","qam","","0","0","0","0","https://x.com/RachmatNaraz/status/1779483780107104417","Munir_Timur,ListyoSigitP,prabowo,Puspen_TNI,DPR_RI,MajelisUlamaID,Nahdlatul_Ulama","7","RachmatNaraz","Munir_Timur"
"@FitrahDharul @MichelAdam7__ @bengkeldodo @ajengcute16__ @are_inismyname @andre_rosiade @Lembayung071 @Kimberley_2024 @PartaiSocmed @Heraloebss @RaisaTjokrodnta @grace_nat @KPU_ID @aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB @nahdlatululama @mu","1.78e+32","2024-04-14 17:10:42+00:00","bedasablon","1.73e+32","in","","0","0","0","0","https://x.com/bedasablon/status/1779557909871177893","FitrahDharul,MichelAdam7__,bengkeldodo,ajengcute16__,are_inismyname,andre_rosiade,Lembayung071,Kimberley_2024,PartaiSocmed,Heraloebss,RaisaTjokrodnta,grace_nat,KPU_ID,aniesbaswedan,cakimiNOW,NasDem,PKSejahtera,DPP_PKB,nahdlatululama,muhammadiyah,Timnasamiin,officialMKRI,DPR_RI","23","bedasablon","FitrahDharul"
"Madrasah ibtidaiyah (MI) adalah jenjang paling dasar pada pendidikan formal di Indonesia setara dengan Sekolah Dasar yang pengelolaannya dilakukan oleh Kementerian Agama. Yth @Kemenag_RI Gus @YaqutCQoumas @nahdlatululama","1.78e+32","2024-04-14 18:11:02+00:00","Simbok_Dharmi","1.51e+32","in","Jawa Timur, Indonesia","0","1","0","0","https://x.com/Simbok_Dharmi/status/1779573092957995362","Kemenag_RI,YaqutCQoumas,nahdlatululama","3","Simbok_Dharmi","Kemenag_RI"
"@Kemenag_RI @YaqutCQoumas @nahdlatululama MI diisi oleh peserta didik yang beragama Islam saja. Kurikulum yang digunakan di SD dan MI biasanya sama namun MI memiliki tambahan pelajaran agama yang lebih kompleks.","1.78e+32","2024-04-14 18:12:49+00:00","Simbok_Dharmi","1.51e+32","in","Jawa Timur, Indonesia","0","1","0","0","https://x.com/Simbok_Dharmi/status/1779573542126043180","Kemenag_RI,YaqutCQoumas,nahdlatululama","3","Simbok_Dharmi","Kemenag_RI"
"@Kemenag_RI @YaqutCQoumas @nahdlatululama Menjadi Sekolah yang unggul dalam prestasi dan trampil dalam penggunaan Ilmu pengetahuan dan Teknologi berdasarkan Iman dan Taqwa. Membentuk Siswa yang beriman bertaqwa kepada Allah SWT. Berbudi luhur memiliki pen","1.78E+47","2024-04-14 18:15:30+00:00","Simbok_Dharmi","1.51e+32","in","Jawa Timur, Indonesia","0","1","0","0","https://x.com/Simbok_Dharmi/status/1779574215563502061","Kemenag_RI,YaqutCQoumas,nahdlatululama","3","Simbok_Dharmi","Kemenag_RI"
"@Kemenag_RI @YaqutCQoumas @nahdlatululama Diantaranya siswa memperoleh pendidikan umum dan agama mengenal lebih dekat tentang Islam sehingga melalui Madrasah setiap peserta didik memiliki kesempatan lebih baik untuk mengenal Islam juga dapat membentuk Kar","1.78e+32","2024-04-14 18:19:02+00:00","Simbok_Dharmi","1.51e+32","in","Jawa Timur, Indonesia","0","1","0","1","https://x.com/Simbok_Dharmi/status/1779575102755291292","Kemenag_RI,YaqutCQoumas,nahdlatululama","3","Simbok_Dharmi","Kemenag_RI"
"@Kemenag_RI @YaqutCQoumas @nahdlatululama harapannya anak menjadi pribadi muslim yang memiliki akhlak sesuai dengan ajaran Islam.","1.78e+32","2024-04-14 18:19:35+00:00","Simbok_Dharmi","1.51e+32","in","Jawa Timur, Indonesia","0","0","0","0","https://x.com/Simbok_Dharmi/status/1779575242601660669","Kemenag_RI,YaqutCQoumas,nahdlatululama","3","Simbok_Dharmi","Kemenag_RI"
"@CNNIDdaily @the_vertus @nahdlatululama","1.78E+47","2024-04-14 20:48:40+00:00","RifaldiPra86281","1.74e+32","qam","","0","0","0","0","https://x.com/RifaldiPra86281/status/1779612761389207754","CNNIDdaily,the_vertus,nahdlatululama","3","RifaldiPra86281","CNNIDdaily"
"Mutlak @nahdlatululama Harus bersih2 ini mah ","1.78e+32","2024-04-14 21:23:10+00:00","BIryandhi","1.59E+47","in","","1","0","0","1","https://x.com/BIryandhi/status/1779621441719398763","nahdlatululama","1","BIryandhi","nahdlatululama"
"@OktermanLkmn @MUIPusat @muhammadiyah @nahdlatululama Hampir semua kasus spt itu...bahkan pakai kopiah putih yg sy yamin org NU pun jarang menggunakan. Karena org NU identik Kopiah hitam sementara kopiah putih identik jaringan tertentu","1.78e+32","2024-04-14 21:24:48+00:00","reog_tester","98785973.0","in","Batulicin, Kalimantan Selatan","0","0","0","1","https://x.com/reog_tester/status/1779621854275391705","OktermanLkmn,MUIPusat,muhammadiyah,nahdlatululama","4","reog_tester","OktermanLkmn"
"Wahhhh ini menghina dan penistaan AGAMA Islam @MajelisUlamaID @Kemenag_RI @pgmoraaji @nahdlatululama @nahdiyinbersatu @muhammadiyah @mohmahfudmd @Yusrilihza_Mhd @BurhanMuhtadi","1.78e+32","2024-04-14 22:34:17+00:00","Wage_Esuk","3046442101.0","in","indonesia","0","0","0","0","https://x.com/Wage_Esuk/status/1779639340584628421","MajelisUlamaID,Kemenag_RI,pgmoraaji,nahdlatululama,nahdiyinbersatu,muhammadiyah,mohmahfudmd,Yusrilihza_Mhd,BurhanMuhtadi","9","Wage_Esuk","MajelisUlamaID"
"Regarding the long conflict in the Middle East I don't believe the analysis that says that the conflict is caused by religion itself which has been put forward several times by Nahdlatul Ulama intellectuals. https://t.co/Rvno6zzBWi","1.78e+32","2024-04-15 00:40:11+00:00","MurtadhoRoy","1.32e+32","en","","0","5","7","17","https://x.com/MurtadhoRoy/status/1779671023388176722","","0","MurtadhoRoy",""
"Foto Legenda: para pembesar Nahdlatul Ulama Kiai As'ad Syamsul Arifin Kiai Ali Maksum Kiai Masykur Malang Kiai Idham Chalid Gus Dur dan Gus Fawaid As'ad di momen bersama menunggu kedatangan RI 1 H. M. Soeharto ke arena Muktamar ke 27 di Pesantren Sukorejo Situbondo 1984. https://t.co/adgkpcis12","1.78e+32","2024-04-15 00:40:53+00:00","mideomoto","1.19E+48","in","","0","1","2","6","https://x.com/mideomoto/status/1779671199976759354","","0","mideomoto",""
"Legenda NU #Legend #nahdlatululama #nu https://t.co/hYflqWZsEv","1.78e+32","2024-04-15 00:43:05+00:00","mideomoto","1.19E+48","sv","","0","1","0","5","https://x.com/mideomoto/status/1779671752878289213","","0","mideomoto",""
"Legenda NU #Legends #nahdlatululama #nu https://t.co/sLrxJnaYVG","1.78e+32","2024-04-15 00:45:02+00:00","mideomoto","1.19E+48","sv","","0","0","0","0","https://x.com/mideomoto/status/1779672243372777498","","0","mideomoto",""
"@nizsa_love @NUgarislucu Ya emang NU bargaining power nya sekuat apa buat proposal damai ke zionis? yakin nyampein aspirasi bukan minta 'dana aspirasi?' wkwk UN yg segitu banyak negaranya aja ga dingerin lah ormas lu siapee konyol.","1.78E+31","2024-04-15 01:20:01+00:00","tamathoughtss","1.27E+31","in","","0","1","1","6","https://x.com/tamathoughtss/status/1779681048479383865","nizsa_love,NUgarislucu","2","tamathoughtss","nizsa_love"
"@NUgarislucu Bener ini mau membinasakan Israel? Alhamdulillah. Kami tunggu realisasinya ya pak @YahyaCStaquf @nahdlatululama","1.78e+32","2024-04-15 01:33:00+00:00","hari_bdl","1.43e+31","in","","0","0","0","0","https://x.com/hari_bdl/status/1779684314579673327","NUgarislucu,YahyaCStaquf,nahdlatululama","3","hari_bdl","NUgarislucu"
"@barubikinlol ORMAS DANGDUT!!! @nahdlatululama https://t.co/HhsuqDpuLk","1.78e+32","2024-04-15 02:29:40+00:00","cimolness","3311476351.0","in","","0","0","1","4","https://x.com/cimolness/status/1779698577700540718","barubikinlol,nahdlatululama","2","cimolness","barubikinlol"
"@21_mozza @nahdlatululama @Lakpesdam_PBNU @PBNU_164 @PBNU1926 @DakwahPBNU @ld_pbnu LUAR BINASA KALIAN","1.78e+32","2024-04-15 02:33:55+00:00","zhaLu87","1.58e+32","in","","0","0","0","0","https://x.com/zhaLu87/status/1779699647713558800","21_mozza,nahdlatululama,Lakpesdam_PBNU,PBNU_164,PBNU1926,DakwahPBNU,ld_pbnu","7","zhaLu87","21_mozza"
"@republikaonline @Kemenag_RI @MajelisUlamaID @YaqutCQoumas @cholilnafis @nahdlatululama @muhammadiyah","1.78e+32","2024-04-15 03:58:23+00:00","Toto_1945","9.82E+46","qam","Indonesia","0","0","0","0","https://x.com/Toto_1945/status/1779720900843298851","republikaonline,Kemenag_RI,MajelisUlamaID,YaqutCQoumas,cholilnafis,nahdlatululama,muhammadiyah","7","Toto_1945","republikaonline"
"@akhmadmuhyidin2 @NUgarislucu Nahdlatul ulama","1.78e+32","2024-04-15 04:36:31+00:00","palmxsugarx","1.49e+32","in","everywhere ","0","0","0","1","https://x.com/palmxsugarx/status/1779730499512197176","akhmadmuhyidin2,NUgarislucu","2","palmxsugarx","akhmadmuhyidin2"
" Di Indonesia masyarakat saling berkunjung saling meminta maaf. Ini (budaya) Nusantara asli. Mustasyar Pengurus Besar Nahdlatul Ulama (PBNU) Dr. K.H. Ahmad Mustofa Bisri (Gus Mus) https://t.co/trbkz3sP4r","1.78e+32","2024-04-15 04:40:50+00:00","DivHumas_Polri","138290629.0","in","","1","7","13","88","https://x.com/DivHumas_Polri/status/1779731586935824675","","0","DivHumas_Polri",""
"@herculep638 pantas di Gantung banser satu ini !!! buat malu @nahdlatululama @PBNU_164 bawaan si @YaqutCQoumas","1.78e+32","2024-04-15 06:13:01+00:00","AtokSsk","99851231.0","in","Kota Surabaya, Jawa Timur","0","0","0","1","https://x.com/AtokSsk/status/1779754784918241304","herculep638,nahdlatululama,PBNU_164,YaqutCQoumas","4","AtokSsk","herculep638"
"@5teV3n_Pe9eL Pasti ormas nya NU","1.78E+31","2024-04-15 07:44:35+00:00","ergewira","136147950.0","in","Brooklyn, NY","0","0","0","0","https://x.com/ergewira/status/1779777829103874216","5teV3n_Pe9eL","1","ergewira","5teV3n_Pe9eL"
"@NUgarislucu Sabar min. Sebagai ormas dengan member puluhan juta NU memang seksi. Makanya akan selalu diserang kanan kiri. Tapi NU tidak punya sejarah kalah. Mulai dari vs NII vs PKI dll semuanya tumbang hahaha","1.78E+31","2024-04-15 09:23:50+00:00","dekiikantata","2711384786.0","in","Jakarta","0","11","0","2","https://x.com/dekiikantata/status/1779802804850409557","NUgarislucu","1","dekiikantata","NUgarislucu"
"@ReezMuhammad cc. @DakwahPBNU @nahdlatululama @yahyastaquf gimana nih.. maksud dan tujuannya apa ya..","1.78e+32","2024-04-15 09:46:47+00:00","afka2704","1.66E+46","in","","0","0","0","1","https://x.com/afka2704/status/1779808581161992356","ReezMuhammad,DakwahPBNU,nahdlatululama,yahyastaquf","4","afka2704","ReezMuhammad"
"Tentu saja kita maklum SIAPA yang Membina dan SIAPA yang takut Dibinasakan! @netanyahu @nahdlatululama https://t.co/iZDjzTUFqo","1.78E+47","2024-04-15 10:04:24+00:00","OktermanLkmn","1.60E+47","in","Pesisir Barat, Andalas","0","0","1","1","https://x.com/OktermanLkmn/status/1779813011999600996","netanyahu,nahdlatululama","2","OktermanLkmn","netanyahu"
"Safari Idul Fitri 1445 H PC LPBI NU Sidoarjo di ndalem KH. R. Abd. Salam Mujib Rais Syuriyah PCNU Sidoarjo sekaligus pengasuh PP Al Khoziniy Buduran Sidoarjo.(15/04) #Nahdlatululama #pcnusidoarjo #nudeltamedia #pplpbinu #lpbinu #lpbinusidoarjo https://t.co/MJgFquRasU https://t.co/Z9oQJoS4kH","1.78e+32","2024-04-15 11:29:05+00:00","LPBINU_SIDOARJO","1.22e+32","in","","0","0","0","3","https://x.com/LPBINU_SIDOARJO/status/1779834325179170875","","0","LPBINU_SIDOARJO",""
"@21_mozza Njirrrr Padahal Nahdlatul Ulama loh Serius ini NU?","1.78E+47","2024-04-15 13:27:46+00:00","PerangKomandan","1.53E+47","in","","0","0","0","0","https://x.com/PerangKomandan/status/1779864193669406854","21_mozza","1","PerangKomandan","21_mozza"
"@FitrahDharul @officialMKRI @bengkeldodo @ajengcute16__ @are_inismyname @andre_rosiade @Lembayung071 @Kimberley_2024 @PartaiSocmed @Heraloebss @RaisaTjokrodnta @grace_nat @AHMADDHANIPRAST @aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB @nahdlatulu","1.78e+32","2024-04-15 13:34:25+00:00","Chynthia_K","1331140639.0","in","DKI Jakarta | INDONESIA","0","1","0","0","https://x.com/Chynthia_K/status/1779865866974421126","FitrahDharul,officialMKRI,bengkeldodo,ajengcute16__,are_inismyname,andre_rosiade,Lembayung071,Kimberley_2024,PartaiSocmed,Heraloebss,RaisaTjokrodnta,grace_nat,AHMADDHANIPRAST,aniesbaswedan,cakimiNOW,NasDem,PKSejahtera,DPP_PKB,nahdlatululama,muhammadiyah,Timnasamiin","21","Chynthia_K","FitrahDharul"
"Safari Idul Fitri 1445 H PC LPBI NU Sidoarjo di ndalem KH. Zainal Abidin Ketua Tanfidziyah PCNU Sidoarjo.(15/04) #Nahdlatululama #pcnusidoarjo #nudeltamedia #pplpbinu #lpbinu #lpbinusidoarjo #siapsiaga #siagabencana #relawan #Sidoarjo #jawatimur https://t.co/aXMGpV4a4Q https://t.co/u0gTeCSFuK","1.78e+32","2024-04-15 13:43:10+00:00","LPBINU_SIDOARJO","1.22e+32","in","","0","0","0","3","https://x.com/LPBINU_SIDOARJO/status/1779868067834814504","","0","LPBINU_SIDOARJO",""
"Safari Idul Fitri 1445 H PC LPBI NU Sidoarjo dirumah dinas Bupati Sidoarjo H. Muhdlor Ali S. Ip.(15/04) #Nahdlatululama #pcnusidoarjo #nudeltamedia #pplpbinu #lpbinu #lpbinusidoarjo #siapsiaga #siagabencana #relawan #Sidoarjo #jawatimur https://t.co/gJaSEIuyr0 https://t.co/yaDwCdErZg","1.78e+32","2024-04-15 13:49:55+00:00","LPBINU_SIDOARJO","1.22e+32","in","","0","0","0","3","https://x.com/LPBINU_SIDOARJO/status/1779869766028816718","","0","LPBINU_SIDOARJO",""
"@catcoin #Catcoin @bangdreamgbp_EN @LK @nahdlatululama","1.78e+32","2024-04-15 14:26:52+00:00","HanLubbs","1.77e+32","qme","","0","0","0","0","https://x.com/HanLubbs/status/1779879063869636906","catcoin,bangdreamgbp_EN,LK,nahdlatululama","4","HanLubbs","catcoin"
"@GheaJhanaLie7 @MUIPusat @nahdlatululama @muhammadiyah Jahannam busuk","1.78E+47","2024-04-15 17:14:58+00:00","de_chanie","1.54E+48","in","Istana Atap langit","0","0","0","1","https://x.com/de_chanie/status/1779921371218501925","GheaJhanaLie7,MUIPusat,nahdlatululama,muhammadiyah","4","de_chanie","GheaJhanaLie7"
"Keren memang Nahdlatul Ulama (NU) itu ormas yang lebih kuat dan berpengaruh dari PBB NATO ICJ UNDP BRICS Sunda Empire Bill Gates dan Padepokan Dimas Kanjeng. Israel pasti tunduk klo diajak tahlil sama Gus Idham lalu dikasih surya 2 batang salut semoga sukses .","1.78e+32","2024-04-15 17:32:36+00:00","Rafilsafat","1.39e+32","in","","2","4","9","51","https://x.com/Rafilsafat/status/1779925808368541866","","0","Rafilsafat",""
"@GheaJhanaLie7 @MUIPusat @nahdlatululama @muhammadiyah Musibah.... musibah","1.78e+32","2024-04-15 18:11:13+00:00","NanangH20078753","1.13E+48","in","Karawang, Jawa Barat","0","0","0","0","https://x.com/NanangH20078753/status/1779935524104618059","GheaJhanaLie7,MUIPusat,nahdlatululama,muhammadiyah","4","NanangH20078753","GheaJhanaLie7"
"@safar_asia Salam 3aleykum tu connais les différences entre Jumiahtul Ulama et Nahdlatul Ulama ?","1.78e+32","2024-04-15 20:48:10+00:00","vins_75017","1.34e+32","et","Paris, France","0","1","0","0","https://x.com/vins_75017/status/1779975024167821572","safar_asia","1","vins_75017","safar_asia"
"@GheaJhanaLie7 @MUIPusat @nahdlatululama @muhammadiyah Menghamba pd uang saja sdh biasa Jabat tangan? Apalagi","1.78e+32","2024-04-15 23:11:38+00:00","Alfa_Bimas","1.73e+32","in","","0","0","0","1","https://x.com/Alfa_Bimas/status/1780011126069338568","GheaJhanaLie7,MUIPusat,nahdlatululama,muhammadiyah","4","Alfa_Bimas","GheaJhanaLie7"
"Dari sekian banyak ormas baru NU yang mengajukan diri mengelola IUP. Menteri Bahlil memang menyebut ada beberapa ormas tapi terbatas lima-enam organisasi. Bagaimana menyeleksinya ini yang masih kabur. Usaha Bahlil tentu saja ingin menunjukkan diri sebagai pembantu loyal https://t.co/y0rD9ksXWa","1.78E+31","2024-04-16 03:34:04+00:00","Aryprasetyo85","435004096.0","in","Jawa Tengah, Indonesia","2","3","36","126","https://x.com/Aryprasetyo85/status/1780077172893552670","","0","Aryprasetyo85",""
"@deugalih setuju gw bacanya aja keringet dingin dan merinding masa iya dibilang keren duduk dan jabat tangan bareng para pembunuh bayi dan wanita sumpah NU ormas paling menjijikan untuk sekarang.","1.78E+31","2024-04-16 03:58:07+00:00","suepfian","593209236.0","in","","0","1","0","0","https://x.com/suepfian/status/1780083223114223923","deugalih","1","suepfian","deugalih"
"If a mental disorder is an ormas Nahdlatul Ulama is a Narcissistic Personality Disorder.","1.78E+47","2024-04-16 04:33:29+00:00","ariamericano","8.69e+31","en","","1","1","4","13","https://x.com/ariamericano/status/1780092125574807557","","0","ariamericano",""
"@ronnieelwey @nahdlatululama Gas","1.78e+32","2024-04-16 05:49:28+00:00","HalanWaSahlan","1529594472.0","und","Manchester, England","0","0","0","0","https://x.com/HalanWaSahlan/status/1780111246718882094","ronnieelwey,nahdlatululama","2","HalanWaSahlan","ronnieelwey"
"@NUgarislucu Ini bukan Nahdlatul Ulama ini Netanyahu United.","1.78e+32","2024-04-16 06:16:34+00:00","BWayne2002","1.75e+32","in","","0","0","0","0","https://x.com/BWayne2002/status/1780118064962711906","NUgarislucu","1","BWayne2002","NUgarislucu"
"@GheaJhanaLie7 @felixsiauw @ustadzkhalid @PastorGilbertL @nahdlatululama Mana berani dia tangkap PG itu Cs dia","1.78e+32","2024-04-16 06:33:13+00:00","Irsyafruddin1","1.6e+32","in","","0","0","0","2","https://x.com/Irsyafruddin1/status/1780122256812949571","GheaJhanaLie7,felixsiauw,ustadzkhalid,PastorGilbertL,nahdlatululama","5","Irsyafruddin1","GheaJhanaLie7"
"@GheaJhanaLie7 @felixsiauw @ustadzkhalid @PastorGilbertL @nahdlatululama Jamaat numpang urip mau opo?","1.78e+32","2024-04-16 06:54:37+00:00","BlakeXavia","1.6e+32","in","","0","0","0","0","https://x.com/BlakeXavia/status/1780127640726450648","GheaJhanaLie7,felixsiauw,ustadzkhalid,PastorGilbertL,nahdlatululama","5","BlakeXavia","GheaJhanaLie7"
"@GheaJhanaLie7 @felixsiauw @ustadzkhalid @PastorGilbertL @nahdlatululama Sedang lebaran","1.78e+32","2024-04-16 06:59:40+00:00","musaci85","1.71e+32","in","","0","0","0","0","https://x.com/musaci85/status/1780128913123049913","GheaJhanaLie7,felixsiauw,ustadzkhalid,PastorGilbertL,nahdlatululama","5","musaci85","GheaJhanaLie7"
"@GheaJhanaLie7 @felixsiauw @ustadzkhalid @PastorGilbertL @nahdlatululama Cici muslim ??","1.78e+32","2024-04-16 07:18:09+00:00","Winter80678785","1.35e+32","tr","","0","0","0","0","https://x.com/Winter80678785/status/1780133561905094791","GheaJhanaLie7,felixsiauw,ustadzkhalid,PastorGilbertL,nahdlatululama","5","Winter80678785","GheaJhanaLie7"
"@starclust @drowningsorrrow @jokowi @gibran_tweet @nahdlatululama","1.78e+32","2024-04-16 07:22:29+00:00","benadryldream","1.45e+32","qam","","0","1","0","1","https://x.com/benadryldream/status/1780134653594362175","starclust,drowningsorrrow,jokowi,gibran_tweet,nahdlatululama","5","benadryldream","starclust"
"... Sementara itu yang lainnya kalo berpuasa Ramadhan 1445 H cuma sampe 29 hari (12 Maret - 9 April 2025 M yang ikut dengan Pemerintah lewat Kemenag RI dan Nahdlatul Ulama).","1.78e+32","2024-04-16 07:35:21+00:00","WardiSamme218","2371502532.0","in","Makassar, Indonesia","0","1","0","1","https://x.com/WardiSamme218/status/1780137893685784919","","0","WardiSamme218",""
"@NUgarislucu Kenapa gk memperjuangkan perdamaian dulu dengan dialog layaknya ormas anda pada israel kenapa langsung di bubarkan??? Bukankah sikap NU memperjuangkan perdamaian???","1.78E+31","2024-04-16 08:12:24+00:00","hamba_sahaaya","1.22E+31","in","kedaton","0","0","0","0","https://x.com/hamba_sahaaya/status/1780147214343626883","NUgarislucu","1","hamba_sahaaya","NUgarislucu"
"@GheaJhanaLie7 @abaabilah1 @felixsiauw @ustadzkhalid @PastorGilbertL @nahdlatululama lagi ngabisin duit thr jg gereja","1.78e+32","2024-04-16 08:43:00+00:00","RohiminSamuni","1.6e+32","in","DKI Jakarta, Indonesia","0","0","0","4","https://x.com/RohiminSamuni/status/1780154917900222515","GheaJhanaLie7,abaabilah1,felixsiauw,ustadzkhalid,PastorGilbertL,nahdlatululama","6","RohiminSamuni","GheaJhanaLie7"
"@GheaJhanaLie7 @felixsiauw @ustadzkhalid @PastorGilbertL @nahdlatululama Takkan mungkin anjing menggigit tuannya selama dikasih makan ! Itu !!","1.78e+32","2024-04-16 09:37:00+00:00","sukmoyudo","261578608.0","in","Jakarta - Tangerang","0","0","0","7","https://x.com/sukmoyudo/status/1780168507021521184","GheaJhanaLie7,felixsiauw,ustadzkhalid,PastorGilbertL,nahdlatululama","5","sukmoyudo","GheaJhanaLie7"
